"","Method","PercentSampled","EquivalentPerGenRate","R_Squared"
"4055","Clock Rate",0.1,0.75,0.855611824456839
"4056","Clock Rate",0.1,1.5,0.933877479172554
"4057","Clock Rate",0.1,3,0.961499617123452
"4058","Generation",0.1,0.75,0.798220620581846
"4059","Clock Rate",0.1,0.1,0.433867817840439
"4060","Clock Rate",0.1,0.2,0.532443838562665
"4061","Clock Rate",0.1,0.5,0.803255730983362
"4062","Clock Rate",0.1,1,0.865437071684008
"4063","Clock Rate",0.1,2,0.968415884422751
"4064","Clock Rate",0.1,0.05,0.338122436086321
"4065","Clock Rate",0.1,0.15,0.654755673450893
"4066","Clock Rate",0.1,0.25,0.607961629892079
"4067","Clock Rate",0.1,0.75,0.855611824456839
"4068","Clock Rate",0.1,1.5,0.933877479172554
"4069","Clock Rate",0.1,3,0.961499617123452
"4070","Generation",0.1,1.5,0.892547526904149
"4071","Clock Rate",0.1,0.1,0.433867817840439
"4072","Clock Rate",0.1,0.2,0.532443838562665
"4073","Clock Rate",0.1,0.5,0.803255730983362
"4074","Clock Rate",0.1,1,0.865437071684008
"4075","Clock Rate",0.1,2,0.968415884422751
"4076","Clock Rate",0.1,0.05,0.338122436086321
"4077","Clock Rate",0.1,0.15,0.654755673450893
"4078","Clock Rate",0.1,0.25,0.607961629892079
"4079","Clock Rate",0.1,0.75,0.855611824456839
"4080","Clock Rate",0.1,1.5,0.933877479172554
"4081","Clock Rate",0.1,3,0.961499617123452
"4082","Generation",0.1,3,0.911264578026343
"4083","Clock Rate",0.1,0.1,0.433867817840439
"4084","Clock Rate",0.1,0.2,0.532443838562665
"4085","Clock Rate",0.1,0.5,0.803255730983362
"4086","Clock Rate",0.1,1,0.865437071684008
"4087","Clock Rate",0.1,2,0.968415884422751
"4088","Clock Rate",0.1,0.05,0.338122436086321
"4089","Clock Rate",0.1,0.15,0.654755673450893
"4090","Clock Rate",0.1,0.25,0.607961629892079
"4091","Clock Rate",0.1,0.75,0.855611824456839
"4092","Clock Rate",0.1,1.5,0.933877479172554
"4093","Clock Rate",0.1,3,0.961499617123452
"4094","Generation",0.2,0.1,0.384465229525839
"4095","Clock Rate",0.2,0.1,0.440310215558379
"4096","Clock Rate",0.2,0.2,0.541911986627602
"4097","Clock Rate",0.2,0.5,0.774856118273341
"4098","Clock Rate",0.2,1,0.855494119187747
"4099","Clock Rate",0.2,2,0.970293768496191
"4100","Clock Rate",0.2,0.05,0.326032214547776
"4101","Clock Rate",0.2,0.15,0.649532209336851
"4102","Clock Rate",0.2,0.25,0.60461805215115
"4103","Clock Rate",0.2,0.75,0.873625083648011
